id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,country,language,director,votes,reviews_from_critics,popularity,genre_1,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0104418,4.1102166,9.596087,21.352943,-4.93538,12.66546,3.7726061,USA,English,Ate de Jong,6.05,34.0,1.80809,Adventure,tt0096426,tt0110667,,,,
tt0047542,3.2871277,10.776729,21.172009,-1.904472,10.910592,1.421751,USA,English,Lewis Allen,6.6,50.0,1.859033,Crime,tt0044789,tt0047370,,,,
tt0101879,4.4164114,11.946671,18.11739,-0.4905281,12.072484,4.2634473,USA,English,Shimon Dotan,2.35,1.0,0.5808909999999999,Drama,,,,,,
tt0254455,1.9245006,11.98082,20.868492,-4.7074533,12.847627,1.0380201,"Spain, France","Spanish, English",Julio Medem,6.85,88.0,8.164311999999999,Drama,,,,,,
tt0073496,1.8276167,10.249045,19.251234,-4.6205573,11.855225,-0.37661868,USA,English,Larry Peerce,5.95,3.0,0.039473,Biography,,,,,,
tt0076725,3.2189693,13.162652,20.693855,-3.3817549,9.565603,2.4415092,New Zealand,English,Roger Donaldson,6.050000000000001,19.0,0.7566890000000001,Action,tt0077318,tt0079596,,,,
tt0138703,5.6151114,11.122118,19.16919,-0.59985095,8.832527,1.4861783,USA,English,Don Coscarelli,5.300000000000001,78.0,7.590628,Fantasy,tt0079714,,,,,
tt0072006,3.6272135,9.066771,22.388212,-2.2220557,11.720379,-0.28016672,USA,English,Lee Frost,6.199999999999999,12.0,0.197425,Action,tt0072349,,,,,
tt0450232,3.3590748,13.189232,21.92137,-0.9079839,10.947499,0.2713738,"USA, Germany","English, Spanish",Richard Donner,6.4,194.0,11.887779,Action,tt0300556,,,,,
tt0438488,3.3885512,9.465706,19.262781,0.06039712,7.831076,1.2936721,"USA, Germany, UK, Italy","English, Italian",McG,6.2,436.0,16.507496,Action,tt0093773,,,,,
tt0067367,2.0224245,9.781991,17.91578,-2.069557,12.324347,2.2893226,UK,English,Jimmy Sangster,6.0,61.0,0.846569,Horror,tt0065851,,,,,
tt0029606,2.8394403,10.935502,19.029585,-3.8064618,11.520407,4.267655,USA,English,"William A. Wellman, Jack Conway",6.8,51.0,2.5375080000000003,Drama,tt0047522,tt0030287,,,,
tt0419677,4.067758,9.311825,20.583855,-2.073079,10.380516,0.11836913,UK,English,Shane Meadows,7.4,104.0,12.655746,Crime,,,,,,
tt0442933,3.1507106,13.171833,18.666245,-1.5822452,8.792543,2.4848273,"USA, UK","English, Old English",Robert Zemeckis,5.85,292.0,9.951195,Animation,tt0253556,tt0120657,,,,
tt0075824,3.0031374,13.890247,18.866318,-3.7438095,10.202294,5.008621,"France, Spain","French, Spanish",Luis Buñuel,7.7,87.0,6.049944,Comedy,tt0071487,,,,,
tt0090037,2.009442,9.938174,20.542793,-3.8559349,10.449894,4.4433007,"UK, USA",English,Joyce Chopra,5.9,18.0,3.3124839999999995,Drama,tt0118866,tt0068718,,,,
tt0097373,2.747528,12.310222,18.65305,-2.090871,12.749749,1.467894,"UK, USA",English,Martin Stellman,5.449999999999999,9.0,1.199401,Action,tt0097880,,,,,
tt0382295,0.729376,12.202887,18.781816,-1.9752582,9.491287,2.9952247,Germany,German,Sven Unterwaldt Jr.,5.0,14.0,4.582736,Comedy,,,,,,
tt0114369,4.3794117,10.022237,21.784811,-2.0057595,10.891393,-0.34379417,USA,English,David Fincher,8.35,229.0,18.45743,Crime,,,,,,
tt0116729,1.2417974,10.647658,20.093338,-3.704791,10.368595,4.3230553,Netherlands,Dutch,Alex van Warmerdam,7.0,20.0,0.670145,Comedy,,,,,,
tt0071746,3.1981225,10.628179,17.258337,-2.7466576,10.19374,3.9405475,USA,English,Bob Fosse,7.4,64.0,7.285627000000002,Biography,tt0068327,,,,,
tt0044030,2.8600264,10.777368,20.845673,-4.956021,13.791552,1.7892505,USA,English,George Sidney,6.9,16.0,2.01799,Drama,tt0043880,,,,,
tt0362270,3.1404736,12.429139,22.334358,-3.188603,10.407553,4.181904,USA,"English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",Wes Anderson,7.199999999999999,269.0,6.936677,Action,tt0838221,tt0115734,,,,
tt0028676,3.2120516,10.254316,19.318516,-3.871798,9.367578,2.7772543,USA,"English, French, Russian",Edward H. Griffith,6.05,5.0,0.228565,Comedy,tt0036203,tt0035431,tt0030418,,,
tt0104573,3.9882421,10.559695,19.673445,-3.0951805,10.72736,1.2835532,"USA, UK",English,Ernest R. Dickerson,7.05,20.0,5.547398,Action,tt0255819,tt0113118,,,,
tt0435696,3.0626218,13.508043,18.348629,-3.3074696,8.836362,2.5902343,"Germany, USA","Russian, English",Dolph Lundgren,5.4,37.0,2.895673,Action,,,,,,
tt0087363,4.9929996,12.200141,19.63706,-1.9419426,10.398646,3.0001159,USA,"English, Spanish",Joe Dante,7.1,246.0,11.333125,Comedy,tt0084516,tt0091064,,,,
tt0090357,4.630559,9.209521,22.053474,-2.245885,10.137823,1.8571522,USA,English,Barry Levinson,6.75,78.0,5.203452,Adventure,tt0093260,tt0218182,tt0110197,,,
tt0126651,1.4834965,12.798605,21.211231,-4.082201,12.347048,1.6356808,Mexico,Spanish,Alejandro Springall,6.4,9.0,0.28762,Comedy,,,,,,
tt0970462,4.345875,13.112709,18.527622,-0.7927325,8.576939,2.6607387,"Canada, Germany","English, Vietnamese",Uwe Boll,4.9,43.0,3.092242,Action,,,,,,
tt0768212,2.3823285,12.525084,20.189602,-2.7806666,12.448472,2.0156958,USA,"English, Spanish",Robert Shaye,6.050000000000001,116.0,6.183051,Drama,tt0760329,tt0457419,tt0970411,tt0494238,,
